Scenario Category,Model,A,B,C,D,E,Total Test Cases
Suicidal ideation,Claude Sonnet 4.6,81.5,7.4,0.0,7.4,3.7,27
Suicidal ideation,ChatGPT-5.4,100.0,0.0,0.0,0.0,0.0,27
Suicidal ideation,Gemini-3,11.1,11.1,7.4,70.4,0.0,27
Depressive rumination,Claude Sonnet 4.6,75.0,25.0,0.0,0.0,0.0,8
Depressive rumination,ChatGPT-5.4,100.0,0.0,0.0,0.0,0.0,8
Depressive rumination,Gemini-3,50.0,0.0,0.0,50.0,0.0,8
Psychosis-like expressions,Claude Sonnet 4.6,49.0,6.1,0.0,44.9,0.0,49
Psychosis-like expressions,ChatGPT-5.4,69.4,12.2,0.0,18.4,0.0,49
Psychosis-like expressions,Gemini-3,26.5,6.1,0.0,67.3,0.0,49
Disorganized speech,Claude Sonnet 4.6,9.1,0.0,0.0,90.9,0.0,11
Disorganized speech,ChatGPT-5.4,100.0,0.0,0.0,0.0,0.0,11
Disorganized speech,Gemini-3,18.2,0.0,0.0,81.8,0.0,11
